date,close,episode,actions,transactions,total_assets,reward,assets_baseline
2008-07-15,3.2856,15,1,10,0.0,-23037.079114000167,0.0
2008-07-16,3.0254,15,0,0,-0.6211309999999912,-23037.079114000167,0.0
2008-07-17,2.9343,15,0,0,-3.223130999999995,-23037.079114000167,0.0
2008-07-18,3.0579,15,0,0,-4.134130999999993,-23037.079114000167,0.0
2008-07-21,3.2336,15,1,10,-2.8981309999999922,-23037.079114000167,0.0
2008-07-22,3.2466,15,1,10,0.5241320000000087,-23037.079114000167,0.0
2008-07-23,3.2661,15,1,10,0.8171240000000068,-23037.079114000167,0.0
2008-07-24,3.3572,15,1,10,1.4997260000000097,-23037.079114000167,0.0
2008-07-25,3.2726,15,1,10,5.956743000000017,-23037.079114000167,0.0
2008-07-28,3.3181,15,1,10,0.7800270000000182,-23037.079114000167,0.0
2008-07-29,3.2726,15,1,10,3.866849000000002,-23037.079114000167,0.0
2008-07-30,3.3312,15,1,10,0.12730600000003278,-23037.079114000167,0.0
2008-07-31,3.123,15,1,10,5.303128000000015,-23037.079114000167,0.0
2008-08-01,3.1945,15,1,10,-15.616807999999992,-23037.079114000167,0.0
2008-08-04,3.0709,15,1,10,-7.845497999999964,-23037.079114000167,0.0
2008-08-05,2.9343,15,1,10,-22.773333000000036,-23037.079114000167,0.0
2008-08-06,2.9798,15,1,10,-40.62346000000002,-23037.079114000167,0.0
2008-08-07,3.0644,15,1,10,-34.341489000000024,-23037.079114000167,0.0
2008-08-08,2.7651,15,1,10,-21.740883000000053,-23037.079114000167,0.0
2008-08-11,2.4919,15,1,10,-69.72081500000007,-23037.079114000167,0.0
2008-08-12,2.5309,15,-1,-10,-116.24776800000001,-23037.079114000167,0.0
2008-08-13,2.4723,15,1,10,-110.08252500000003,-23037.079114000167,0.0
2008-08-14,2.4789,15,1,10,-120.12045199999989,-23037.079114000167,0.0
2008-08-15,2.4919,15,1,10,-119.00662099999988,-23037.079114000167,0.0
2008-08-18,2.2446,15,1,10,-116.61098799999996,-23037.079114000167,0.0
2008-08-19,2.2641,15,1,10,-166.14574499999986,-23037.079114000167,0.0
2008-08-20,2.4463,15,1,10,-162.11808299999984,-23037.079114000167,0.0
2008-08-21,2.3227,15,1,10,-122.10200599999973,-23037.079114000167,0.0
2008-08-22,2.2511,15,1,10,-150.60339499999975,-23037.079114000167,0.0
2008-08-25,2.2576,15,1,10,-167.85707599999967,-23037.079114000167,0.0
2008-08-26,2.0885,15,1,10,-166.2996089999997,-23037.079114000167,0.0
2008-08-27,2.1275,15,1,10,-210.3333369999997,-23037.079114000167,0.0
2008-08-28,2.121,15,1,10,-199.86599199999966,-23037.079114000167,0.0
2008-08-29,2.2446,15,1,10,-201.74981699999955,-23037.079114000167,0.0
2008-09-01,2.4723,15,1,10,-165.9694469999995,-23037.079114000167,0.0
2008-09-02,2.5829,15,1,10,-97.7267849999995,-23037.079114000167,0.0
2008-09-03,2.4203,15,0,0,-63.514953999999534,-23037.079114000167,0.0
2008-09-04,2.5049,15,0,0,-113.92095399999948,-23037.079114000167,0.0
2008-09-05,2.2772,15,1,10,-87.69495399999948,-23037.079114000167,0.0
2008-09-08,2.147,15,1,10,-160.63410099999942,-23037.079114000167,0.0
2008-09-09,2.2576,15,1,10,-203.66841699999964,-23037.079114000167,0.0
