date,close,episode,actions,transactions,total_assets,reward,assets_baseline,landmark,best_reward,landmark2,regret,actions_signal
2016-03-24,4.332,15,0.05270654,[59.35019684],1000000.0,-0.038171163161894,975566.4,-,1000000.0,-,1.0,^
2016-03-25,4.2827,15,0.04884902,[56.38160324],999992.7817756452,-0.038171163161894,964464.04,,1000000.0,-,0.9999927817756452,^
2016-03-28,4.2434,15,0.0467893,[54.62593842],999986.3434625856,-0.038171163161894,955613.68,,1000000.0,-,0.9999863434625856,^
2016-03-29,4.1646,15,0.04884902,[57.55882263],999978.9465639436,-0.038171163161894,937867.92,,1000000.0,-,0.9999789465639436,^
2016-03-30,4.2827,15,0.04884902,[58.64791489],999960.2540036028,-0.038171163161894,964464.04,,1000000.0,-,0.9999602540036028,^
2016-03-31,4.3221,15,0.05270654,[61.53423691],999993.3645329012,-0.038171163161894,973336.92,,1000000.0,-,0.9999933645329012,^
2016-04-01,4.4698,15,0.0467893,[54.12797165],1000006.2890241608,-0.038171163161894,1006598.96,^,1000000.0,^,1.0000062890241608,^
2016-04-05,4.4698,15,0.04867769,[54.45174789],1000064.996065953,-0.038171163161894,1006598.96,,1000000.0,-,1.0000649960659531,^
2016-04-06,4.4206,15,0.04829024,[54.01834488],1000064.265900685,-0.038171163161894,995519.12,,1000000.0,-,1.000064265900685,^
2016-04-07,4.3418,15,0.05270654,[59.61468506],1000038.4152656458,-0.038171163161894,977773.36,,1000000.0,-,1.0000384152656459,^
2016-04-08,4.2729,15,0.05270654,[60.69664383],999992.6841243784,-0.038171163161894,962257.08,,1000000.0,-,0.9999926841243784,^
2016-04-11,4.3418,15,0.04884902,[57.16143799],999948.4170677944,-0.038171163161894,977773.36,,1000000.0,-,0.9999484170677944,^
2016-04-12,4.3123,15,0.04884902,[56.25434113],999995.099214066,-0.038171163161894,971129.96,,1000000.0,-,0.999995099214066,^
2016-04-13,4.3713,15,0.05082395,[58.92905045],999972.4059741534,-0.038171163161894,984416.76,,1000000.0,-,0.9999724059741534,^
2016-04-14,4.4009,15,0.04902789,[56.07929611],1000019.0414381324,-0.038171163161894,991082.68,,1000000.0,-,1.0000190414381325,^
2016-04-15,4.3516,15,0.05082395,[57.7426796],1000043.7452139156,-0.038171163161894,979980.32,,1000000.0,-,1.0000437452139157,^
2016-04-18,4.2827,15,0.04884902,[56.12765503],999997.7661315028,-0.038171163161894,964464.04,,1000000.0,-,0.9999977661315028,^
2016-04-19,4.263,15,0.04884902,[57.03063583],999929.972849358,-0.038171163161894,960027.6,,1000000.0,-,0.999929972849358,^
2016-04-20,4.1252,15,0.05082395,[59.61054611],999908.942549959,-0.038171163161894,928995.04,v,1000000.0,v,0.9999089425499591,^
2016-04-21,4.0858,15,0.0467893,[56.71155548],999757.9859421452,-0.038171163161894,920122.16,,990449.4399999998,-,1.0093983050181192,^
2016-04-22,4.0661,15,0.05082395,[62.19583893],999712.1058836434,-0.038171163161894,915685.72,,985674.1599999998,-,1.0142419741262605,^
2016-04-25,4.0169,15,0.05082395,[62.49717331],999687.5291568524,-0.038171163161894,904605.88,,973748.0799999998,-,1.0266387679622972,^
2016-04-26,4.0268,15,0.05084391,[63.28749084],999624.2164604268,-0.038171163161894,906835.36,,976147.8399999999,-,1.024050021419324,^
2016-04-27,4.0268,15,0.05084391,[63.13189697],999636.6666963504,-0.038171163161894,906835.36,,976147.8399999999,-,1.0240627758766034,^
2016-04-28,4.0071,15,0.038537,[47.8506546],999635.904037782,-0.038171163161894,902398.92,,971372.5599999999,-,1.0290962965206492,^
2016-04-29,3.9775,15,0.038537,[48.08589935],999606.8473010696,-0.038171163161894,895733.0,,964197.5199999999,-,1.036724142685069,^
2016-05-03,4.0563,15,0.03649142,[45.87230682],999562.0556000118,-0.038171163161894,913478.76,,983298.64,-,1.016539650253164,^
2016-05-04,4.0563,15,0.04884902,[60.21376801],999682.826862016,-0.038171163161894,913478.76,,983298.64,-,1.0166624728190572,^
2016-05-05,4.0563,15,0.04732698,[58.3376236],999682.0941266944,-0.038171163161894,913478.76,,983298.64,-,1.016661727638202,^
2016-05-06,3.9578,15,0.038537,[47.50265503],999681.3842219868,-0.038171163161894,891296.56,,959422.24,-,1.0419618626122182,^
2016-05-09,3.8594,15,0.05270654,[66.58564758],999512.8015517032,-0.038171163161894,869136.88,,935570.0799999998,-,1.0683462660025462,^
2016-05-10,3.8692,15,0.04559566,[59.07092285],999337.6248737894,-0.038171163161894,871343.8400000001,,937945.6,-,1.0654537159444954,^
2016-05-11,3.8791,15,0.038537,[49.79970169],999354.8875532123,-0.038171163161894,873573.3200000001,,940345.36,-,1.062753037408737,^
2016-05-12,3.8692,15,0.038537,[49.67260742],999372.9322583422,-0.038171163161894,871343.8400000001,,937945.6,-,1.065491359262565,^
2016-05-13,3.8495,15,0.03119184,[40.30786896],999353.2396843472,-0.038171163161894,866907.4,,933170.3199999998,-,1.0709226582392242,^
2016-05-16,3.8791,15,0.01898705,[24.66170883],999313.9417797372,-0.038171163161894,873573.3200000001,,940345.36,-,1.0627094940732598,^
2016-05-17,3.8594,15,0.03119184,[40.20499802],999372.7305544278,-0.038171163161894,869136.88,,935570.0799999998,-,1.0681965487336107,^
2016-05-18,3.82,15,0.01898705,[24.5984478],999332.1547756892,-0.038171163161894,860264.0,,926019.5199999999,-,1.0791696429635622,^
2016-05-19,3.8102,15,0.03734599,[48.88218689],999250.6849888668,-0.038171163161894,858057.04,,923643.9999999999,-,1.081856954615487,^
2016-05-20,3.8102,15,0.03119184,[40.93202972],999229.4525349304,-0.038171163161894,858057.04,,923643.9999999999,-,1.0818339669125014,^
2016-05-23,3.8397,15,0.03119184,[40.93202972],999228.9846572716,-0.038171163161894,864700.4400000001,,930794.7999999999,-,1.073522310886644,^
2016-05-24,3.8102,15,0.03119184,[40.6175499],999293.1595030596,-0.038171163161894,858057.04,,923643.9999999999,-,1.0819029404219156,^
2016-05-25,3.8102,15,0.01898705,[24.91608047],999226.8506842715,-0.038171163161894,858057.04,,923643.9999999999,-,1.0818311499714952,^
2016-05-26,3.82,15,0.01898705,[24.91608047],999226.5658785223,-0.038171163161894,860264.0,,926019.5199999999,-,1.0790556184803992,^
2016-05-27,3.8102,15,0.0306518,[40.12015533],999248.642011796,-0.038171163161894,858057.04,,923643.9999999999,-,1.0818547427491503,^
2016-05-30,3.8298,15,0.01898705,[24.91608047],999225.4281182706,-0.038171163161894,862470.9600000001,,928395.0399999999,-,1.0762933719661736,^
2016-05-31,3.9381,15,0.03119184,[40.72254944],999271.1399007896,-0.038171163161894,886860.12,,954646.9599999998,-,1.0467441701179143,^
2016-06-01,3.9086,15,0.03899863,[49.51453018],999529.2368930636,-0.038171163161894,880216.72,,947496.1599999999,-,1.0549163987039945,^
2016-06-02,3.8988,15,0.0391959,[50.14058685],999456.7603608276,-0.038171163161894,878009.76,,945120.6399999999,-,1.0574912006586035,^
2016-06-03,3.9086,15,0.03119184,[40.00185013],999431.7984270687,-0.038171163161894,880216.72,,947496.1599999999,-,1.0548135608560871,^
2016-06-06,3.8988,15,0.03119184,[39.90155411],999456.0965628258,-0.038171163161894,878009.76,,945120.6399999999,-,1.0574904983165174,^
