date,close,episode,actions,transactions,total_assets,reward,assets_baseline
2016-03-24,4.332,15,[0.05270654],[59.35019684],1000000.0,-0.03817116316189406,975566.4
2016-03-25,4.2827,15,[0.04884902],[56.38160324],999992.7817756453,-0.03817116316189406,964464.04
2016-03-28,4.2434,15,[0.0467893],[54.62593842],999986.3434625857,-0.03817116316189406,955613.68
2016-03-29,4.1646,15,[0.04884902],[57.55882263],999978.9465639435,-0.03817116316189406,937867.92
2016-03-30,4.2827,15,[0.04884902],[58.64791489],999960.2540036029,-0.03817116316189406,964464.04
2016-03-31,4.3221,15,[0.05270654],[61.53423691],999993.3645329011,-0.03817116316189406,973336.9199999999
2016-04-01,4.4698,15,[0.0467893],[54.12797165],1000006.2890241608,-0.03817116316189406,1006598.9600000001
2016-04-05,4.4698,15,[0.04867769],[54.45174789],1000064.996065953,-0.03817116316189406,1006598.9600000001
2016-04-06,4.4206,15,[0.04829024],[54.01834488],1000064.265900685,-0.03817116316189406,995519.1200000001
2016-04-07,4.3418,15,[0.05270654],[59.61468506],1000038.4152656458,-0.03817116316189406,977773.36
2016-04-08,4.2729,15,[0.05270654],[60.69664383],999992.6841243783,-0.03817116316189406,962257.08
2016-04-11,4.3418,15,[0.04884902],[57.16143799],999948.4170677944,-0.03817116316189406,977773.36
2016-04-12,4.3123,15,[0.04884902],[56.25434113],999995.099214066,-0.03817116316189406,971129.96
2016-04-13,4.3713,15,[0.05082395],[58.92905045],999972.4059741534,-0.03817116316189406,984416.7599999999
2016-04-14,4.4009,15,[0.04902789],[56.07929611],1000019.0414381324,-0.03817116316189406,991082.68
2016-04-15,4.3516,15,[0.05082395],[57.7426796],1000043.7452139155,-0.03817116316189406,979980.3200000001
2016-04-18,4.2827,15,[0.04884902],[56.12765503],999997.7661315027,-0.03817116316189406,964464.04
2016-04-19,4.263,15,[0.04884902],[57.03063583],999929.972849358,-0.03817116316189406,960027.6
2016-04-20,4.1252,15,[0.05082395],[59.61054611],999908.942549959,-0.03817116316189406,928995.04
2016-04-21,4.0858,15,[0.0467893],[56.71155548],999757.9859421452,-0.03817116316189406,920122.1599999999
2016-04-22,4.0661,15,[0.05082395],[62.19583893],999712.1058836434,-0.03817116316189406,915685.7199999999
2016-04-25,4.0169,15,[0.05082395],[62.49717331],999687.5291568525,-0.03817116316189406,904605.8799999999
2016-04-26,4.0268,15,[0.05084391],[63.28749084],999624.2164604267,-0.03817116316189406,906835.36
2016-04-27,4.0268,15,[0.05084391],[63.13189697],999636.6666963504,-0.03817116316189406,906835.36
2016-04-28,4.0071,15,[0.038537],[47.8506546],999635.9040377821,-0.03817116316189406,902398.92
2016-04-29,3.9775,15,[0.038537],[48.08589935],999606.8473010696,-0.03817116316189406,895733.0
2016-05-03,4.0563,15,[0.03649142],[45.87230682],999562.0556000118,-0.03817116316189406,913478.76
2016-05-04,4.0563,15,[0.04884902],[60.21376801],999682.826862016,-0.03817116316189406,913478.76
2016-05-05,4.0563,15,[0.04732698],[58.3376236],999682.0941266945,-0.03817116316189406,913478.76
2016-05-06,3.9578,15,[0.038537],[47.50265503],999681.3842219869,-0.03817116316189406,891296.56
2016-05-09,3.8594,15,[0.05270654],[66.58564758],999512.8015517031,-0.03817116316189406,869136.88
2016-05-10,3.8692,15,[0.04559566],[59.07092285],999337.6248737894,-0.03817116316189406,871343.8400000001
2016-05-11,3.8791,15,[0.038537],[49.79970169],999354.8875532125,-0.03817116316189406,873573.3200000001
2016-05-12,3.8692,15,[0.038537],[49.67260742],999372.9322583422,-0.03817116316189406,871343.8400000001
2016-05-13,3.8495,15,[0.03119184],[40.30786896],999353.2396843472,-0.03817116316189406,866907.4
2016-05-16,3.8791,15,[0.01898705],[24.66170883],999313.9417797371,-0.03817116316189406,873573.3200000001
2016-05-17,3.8594,15,[0.03119184],[40.20499802],999372.7305544278,-0.03817116316189406,869136.88
2016-05-18,3.82,15,[0.01898705],[24.5984478],999332.1547756891,-0.03817116316189406,860264.0
2016-05-19,3.8102,15,[0.03734599],[48.88218689],999250.6849888667,-0.03817116316189406,858057.04
2016-05-20,3.8102,15,[0.03119184],[40.93202972],999229.4525349305,-0.03817116316189406,858057.04
2016-05-23,3.8397,15,[0.03119184],[40.93202972],999228.9846572716,-0.03817116316189406,864700.4400000001
2016-05-24,3.8102,15,[0.03119184],[40.6175499],999293.1595030595,-0.03817116316189406,858057.04
2016-05-25,3.8102,15,[0.01898705],[24.91608047],999226.8506842717,-0.03817116316189406,858057.04
2016-05-26,3.82,15,[0.01898705],[24.91608047],999226.5658785223,-0.03817116316189406,860264.0
2016-05-27,3.8102,15,[0.0306518],[40.12015533],999248.6420117961,-0.03817116316189406,858057.04
2016-05-30,3.8298,15,[0.01898705],[24.91608047],999225.4281182706,-0.03817116316189406,862470.9600000001
2016-05-31,3.9381,15,[0.03119184],[40.72254944],999271.1399007895,-0.03817116316189406,886860.12
2016-06-01,3.9086,15,[0.03899863],[49.51453018],999529.2368930635,-0.03817116316189406,880216.72
2016-06-02,3.8988,15,[0.0391959],[50.14058685],999456.7603608277,-0.03817116316189406,878009.76
2016-06-03,3.9086,15,[0.03119184],[40.00185013],999431.7984270689,-0.03817116316189406,880216.72
2016-06-06,3.8988,15,[0.03119184],[39.90155411],999456.0965628258,-0.03817116316189406,878009.76
2016-06-07,3.8791,15,[0.01898705],[24.34986305],999430.4716365555,-0.03817116316189406,873573.3200000001
2016-06-08,3.8594,15,[0.01898705],[24.47352409],999379.1363366832,-0.03817116316189406,869136.88
2016-06-13,3.7806,15,[0.0247462],[32.05965042],999327.3189083824,-0.03817116316189406,851391.12
2016-06-14,3.8003,15,[0.0391959],[51.83819962],999118.2909246496,-0.03817116316189406,855827.56
