date,close,episode,actions,transactions,total_assets,reward,assets_baseline
2016-03-24,4.332,1,[0.99942994],[1125.40820312],1000000.0,-0.04020675346374347,975566.4
2016-03-25,4.2827,1,[1.],[1154.20129395],999863.1268414685,-0.04020675346374347,964464.04
2016-03-28,4.2434,1,[1.],[1167.48779297],999735.7420932469,-0.04020675346374347,955613.68
2016-03-29,4.1646,1,[-0.989918],[-1166.42077637],999585.2711698356,-0.04020675346374347,937867.92
2016-03-30,4.2827,1,[-0.6093819],[-731.62121582],999390.7050907909,-0.04020675346374347,964464.04
2016-03-31,4.3221,1,[1.],[1167.48779297],999564.507792321,-0.04020675346374347,973336.9199999999
2016-04-01,4.4698,1,[-0.38917738],[-450.21792603],999656.5395901864,-0.04020675346374347,1006598.9600000001
2016-04-05,4.4698,1,[-0.91811764],[-1027.02319336],999985.4381563324,-0.04020675346374347,1006598.9600000001
2016-04-06,4.4206,1,[0.6946499],[777.04803467],999971.6663915233,-0.04020675346374347,995519.1200000001
2016-04-07,4.3418,1,[0.51084],[577.79486084],999862.0422233071,-0.04020675346374347,977773.36
2016-04-08,4.2729,1,[-1.],[-1151.59606934],999649.9610079064,-0.04020675346374347,962257.08
2016-04-11,4.3418,1,[-0.1703528],[-199.3409729],999535.5693963097,-0.04020675346374347,977773.36
2016-04-12,4.3123,1,[0.5447139],[627.29040527],999618.6711233028,-0.04020675346374347,971129.96
2016-04-13,4.3713,1,[0.01830069],[21.21917534],999555.3207170734,-0.04020675346374347,984416.7599999999
2016-04-14,4.4009,1,[-1.],[-1143.82446289],999666.6575336377,-0.04020675346374347,991082.68
2016-04-15,4.3516,1,[1.],[1136.13122559],999673.7951651098,-0.04020675346374347,979980.3200000001
2016-04-18,4.2827,1,[1.],[1149.00268555],999565.9127738946,-0.04020675346374347,964464.04
2016-04-19,4.263,1,[-0.3130609],[-365.49478149],999341.9372234249,-0.04020675346374347,960027.6
2016-04-20,4.1252,1,[1.],[1172.88293457],999284.6909281032,-0.04020675346374347,928995.04
2016-04-21,4.0858,1,[-0.33980373],[-411.86334229],998740.4817403384,-0.04020675346374347,920122.1599999999
2016-04-22,4.0661,1,[-0.2872715],[-351.54867554],998600.2997487839,-0.04020675346374347,915685.7199999999
2016-04-25,4.0169,1,[0.2740341],[336.97412109],998535.3737171688,-0.04020675346374347,904605.8799999999
2016-04-26,4.0268,1,[-0.2719322],[-338.48516846],998363.29553194,-0.04020675346374347,906835.36
2016-04-27,4.0268,1,[-0.9911936],[-1230.74597168],998389.6639189407,-0.04020675346374347,906835.36
2016-04-28,4.0071,1,[-0.7549119],[-937.35955811],998374.7960153044,-0.04020675346374347,902398.92
2016-04-29,3.9775,1,[0.6313237],[787.75634766],998345.5968245888,-0.04020675346374347,895733.0
2016-05-03,4.0563,1,[-0.71985555],[-904.9095459],998285.9507435308,-0.04020675346374347,913478.76
2016-05-04,4.0563,1,[-0.24759859],[-305.20251465],998337.4232875921,-0.04020675346374347,913478.76
2016-05-05,4.0563,1,[-0.93691915],[-485.03069878],998333.7093087117,-0.04020675346374347,913478.76
2016-05-06,3.9578,1,[1.],[1232.65039062],998327.8070186414,-0.04020675346374347,891296.56
2016-05-09,3.8594,1,[-0.36120138],[-456.31582642],998191.3909558264,-0.04020675346374347,869136.88
2016-05-10,3.8692,1,[-1.],[-776.33456421],998109.5816143748,-0.04020675346374347,871343.8400000001
2016-05-11,3.8791,1,[0.9115339],[1177.93591309],998100.5930575235,-0.04020675346374347,873573.3200000001
2016-05-12,3.8692,1,[-1.],[-1177.93591309],998098.5816141582,-0.04020675346374347,871343.8400000001
2016-05-13,3.8495,1,[-0.3584956],[0.],998084.8736205569,-0.04020675346374347,866907.4
2016-05-16,3.8791,1,[0.70475173],[915.38085938],998084.8736205569,-0.04020675346374347,873573.3200000001
2016-05-17,3.8594,1,[1.],[1288.95874023],998101.3976181399,-0.04020675346374347,869136.88
2016-05-18,3.82,1,[0.17885818],[231.71759033],998042.9721284797,-0.04020675346374347,860264.0
2016-05-19,3.8102,1,[0.10345262],[135.40917969],997944.3086025917,-0.04020675346374347,858057.04
2016-05-20,3.8102,1,[-0.8007689],[-1050.82263184],997917.5564429702,-0.04020675346374347,858057.04
2016-05-23,3.8397,1,[-0.45234752],[-593.60076904],997905.5449097947,-0.04020675346374347,864700.4400000001
2016-05-24,3.8102,1,[0.18713981],[243.69065857],997926.1074644221,-0.04020675346374347,858057.04
2016-05-25,3.8102,1,[0.9280322],[1217.82617188],997888.763725351,-0.04020675346374347,858057.04
2016-05-26,3.82,1,[0.5952615],[781.14208984],997874.8432415107,-0.04020675346374347,860264.0
2016-05-27,3.8102,1,[-0.70701385],[-925.41082764],997896.9773972511,-0.04020675346374347,858057.04
