,date,actions,transactions
0,2009-08-31,[-1.],[0.]
1,2009-09-01,[-1.],[0.]
2,2009-09-02,[-1.],[0.]
3,2009-09-03,[-1.],[0.]
4,2009-09-04,[-1.],[0.]
5,2009-09-07,[-1.],[0.]
6,2009-09-08,[-1.],[0.]
7,2009-09-09,[-1.],[0.]
8,2009-09-10,[-1.],[0.]
9,2009-09-11,[-1.],[0.]
10,2009-09-14,[-1.],[0.]
11,2009-09-15,[-1.],[0.]
12,2009-09-16,[-1.],[0.]
13,2009-09-17,[-1.],[0.]
14,2009-09-18,[-1.],[0.]
15,2009-09-21,[-1.],[0.]
16,2009-09-22,[-1.],[0.]
17,2009-09-23,[-1.],[0.]
18,2009-09-24,[-1.],[0.]
19,2009-09-25,[-1.],[0.]
20,2009-09-28,[-1.],[0.]
21,2009-09-29,[-1.],[0.]
22,2009-09-30,[-1.],[0.]
23,2009-10-09,[-1.],[0.]
24,2009-10-12,[-1.],[0.]
25,2009-10-13,[-1.],[0.]
26,2009-10-14,[-1.],[0.]
27,2009-10-15,[-1.],[0.]
28,2009-10-16,[-1.],[0.]
29,2009-10-19,[-1.],[0.]
30,2009-10-20,[-1.],[0.]
31,2009-10-21,[-1.],[0.]
32,2009-10-22,[-1.],[0.]
33,2009-10-23,[-1.],[0.]
34,2009-10-26,[-1.],[0.]
35,2009-10-27,[-1.],[0.]
36,2009-10-28,[-1.],[0.]
37,2009-10-29,[-1.],[0.]
38,2009-10-30,[-1.],[0.]
39,2009-11-02,[-1.],[0.]
40,2009-11-03,[-1.],[0.]
41,2009-11-04,[-1.],[0.]
42,2009-11-05,[-1.],[0.]
43,2009-11-06,[-1.],[0.]
44,2009-11-09,[-1.],[0.]
45,2009-11-10,[-1.],[0.]
46,2009-11-11,[-1.],[0.]
47,2009-11-12,[-1.],[0.]
48,2009-11-13,[-1.],[0.]
49,2009-11-16,[-1.],[0.]
50,2009-11-17,[-1.],[0.]
51,2009-11-18,[-1.],[0.]
52,2009-11-19,[0.2098204],[0.]
53,2009-11-20,[-1.],[0.]
54,2009-11-23,[-1.],[0.]
55,2009-11-24,[-1.],[0.]
56,2009-11-25,[-1.],[0.]
57,2009-11-26,[-1.],[0.]
58,2009-11-27,[-1.],[0.]
59,2009-11-30,[-1.],[0.]
60,2009-12-01,[-1.],[0.]
61,2009-12-02,[-1.],[0.]
62,2009-12-03,[-1.],[0.]
63,2009-12-04,[-1.],[0.]
64,2009-12-07,[-1.],[0.]
65,2009-12-08,[-1.],[0.]
66,2009-12-09,[-1.],[0.]
67,2009-12-10,[-1.],[0.]
68,2009-12-11,[-1.],[0.]
69,2009-12-14,[-1.],[0.]
70,2009-12-15,[-1.],[0.]
71,2009-12-16,[-1.],[0.]
72,2009-12-17,[-1.],[0.]
73,2009-12-18,[-1.],[0.]
74,2009-12-21,[-1.],[0.]
75,2009-12-22,[-1.],[0.]
76,2009-12-23,[-1.],[0.]
77,2009-12-24,[-1.],[0.]
78,2009-12-25,[-1.],[0.]
79,2009-12-28,[-1.],[0.]
80,2009-12-29,[-1.],[0.]
81,2009-12-30,[-1.],[0.]
82,2009-12-31,[-1.],[0.]
83,2010-01-04,[-1.],[0.]
84,2010-01-05,[-1.],[0.]
85,2010-01-06,[-1.],[0.]
86,2010-01-07,[-1.],[0.]
87,2010-01-08,[-1.],[0.]
88,2010-01-11,[0.2098204],[0.]
89,2010-01-12,[-1.],[0.]
90,2010-01-13,[-1.],[0.]
91,2010-01-14,[-1.],[0.]
92,2010-01-15,[-1.],[0.]
93,2010-01-18,[-1.],[0.]
94,2010-01-19,[-1.],[0.]
95,2010-01-20,[-1.],[0.]
96,2010-01-21,[-1.],[0.]
97,2010-01-22,[-1.],[0.]
98,2010-01-25,[-1.],[0.]
99,2010-01-26,[-1.],[0.]
100,2010-01-27,[-1.],[0.]
101,2010-01-28,[-1.],[0.]
